y/delta,y+,u'u',w'w',v'v',u'w',u'v',w'v',k,u+,dU/dy,v+,P
1.029544868322330e-02,1.030071610698542e+01,7.397690245915431e+00,1.490995408504081e-01,1.288890890259189e+00,-4.437604821888429e-01,-3.418019694250064e-03,1.556120744070890e-05,4.417840338512514e+00,8.605599256432150e+00,5.457874093724588e-01,-5.730845291356324e-04,-1.490995408504083e-01
1.120160359379907e-02,1.120733463037254e+01,7.683013525741093e+00,1.779022470081612e-01,1.370220293702217e+00,-4.923668831625876e-01,-3.634937404476623e-03,1.257991383608519e-05,4.615568033225736e+00,9.077641057508396e+00,4.962615663083392e-01,-5.935818042842732e-04,-1.779022470081613e-01
1.214602540970411e-02,1.215223963744949e+01,7.889322518043850e+00,2.093146012064623e-01,1.448265278891955e+00,-5.383370956608219e-01,-3.830751092681202e-03,8.434232768737254e-06,4.773451199071133e+00,9.524011185558036e+00,4.493330545378704e-01,-6.118545634047392e-04,-2.093146012064624e-01
1.312867758142522e-02,1.313539456000337e+01,8.022542194174248e+00,2.431275663605141e-01,1.522593669930800e+00,-5.811430867911983e-01,-4.005096620465064e-03,4.206601025812769e-06,4.894131715232780e+00,9.943831291454481e+00,4.055298436513562e-01,-6.288776044594777e-04,-2.431275663605143e-01
1.414952207991849e-02,1.415676134953360e+01,8.090346022152334e+00,2.790794839729742e-01,1.592822182378344e+00,-6.204802204527984e-01,-4.154723988043907e-03,1.204518041547430e-06,4.981123844251826e+00,1.033698003622401e+01,3.651565858286092e-01,-6.453941861027578e-04,-2.790794839729744e-01
1.520851939808121e-02,1.521630047872461e+01,8.101250890969856e+00,3.168653089085192e-01,1.658640769474926e+00,-6.562320859836632e-01,-4.271571208035176e-03,5.311151792827734e-07,5.038378484676651e+00,1.070393712309068e+01,3.283298841039920e-01,-6.616921716590460e-04,-3.168653089085194e-01
1.630562855228079e-02,1.631397094297549e+01,8.063938185080975e+00,3.561477702142513e-01,1.719827607301531e+00,-6.884289431426200e-01,-4.342923394336664e-03,2.753277783790006e-06,5.069956781298378e+00,1.104563076860301e+01,2.950200161785043e-01,-6.776121118667422e-04,-3.561477702142515e-01
1.744080708394102e-02,1.744973026198709e+01,7.986788230102109e+00,3.965695796401383e-01,1.776253611362688e+00,-7.172066690787718e-01,-4.354418225379890e-03,7.883157488013281e-06,5.079805710552467e+00,1.136330073512558e+01,2.650920421767434e-01,-6.927380217748363e-04,-3.965695796401386e-01
1.861401106118499e-02,1.862353448140579e+01,7.877590915487273e+00,4.377657813893311e-01,1.827878443045194e+00,-7.427703249828252e-01,-4.295560761597295e-03,1.567636512832923e-05,5.071617569960899e+00,1.165838308100546e+01,2.383420496732639e-01,-7.065894223496351e-04,-4.377657813893315e-01
1.982519508053548e-02,1.983533817452478e+01,7.743388094961137e+00,4.793753663207482e-01,1.874741160269706e+00,-7.653642866742345e-01,-4.166301005487281e-03,2.584971772829757e-05,5.048752310775797e+00,1.193241838076739e+01,2.145266791064534e-01,-7.186534204089935e-04,-4.793753663207485e-01
2.107431226867196e-02,2.108509444404186e+01,7.590407432467734e+00,5.210512608586755e-01,1.916948448744407e+00,-7.852497788504689e-01,-3.978326669133610e-03,3.791080789229303e-05,5.014203571035408e+00,1.218698214393442e+01,1.933853786280111e-01,-7.283604875661711e-04,-5.210512608586757e-01
2.236131428424448e-02,2.237275492387440e+01,7.424057622079858e+00,5.624681468000144e-01,1.954661134672827e+00,-8.026895184235529e-01,-3.747993520789971e-03,5.097410084412029e-05,4.970593451776350e+00,1.242363416081609e+01,1.746558164675722e-01,-7.351948556700950e-04,-5.624681468000149e-01
2.368615131974483e-02,2.369826978103134e+01,7.248963842095462e+00,6.033281623899291e-01,1.988080798584344e+00,-8.179377947378500e-01,-3.489948435249146e-03,6.385093343224458e-05,4.920186401534867e+00,1.264388294532161e+01,1.580840269986736e-01,-7.388894468774339e-04,-6.033281623899296e-01
2.504877210343381e-02,2.506158771754150e+01,7.069025500132699e+00,6.433648417297644e-01,2.017437951574836e+00,-8.312341265644125e-01,-3.216084019639812e-03,7.525349769879692e-05,4.864914146718649e+00,1.284916208001889e+01,1.434307588598677e-01,-7.395134652257974e-04,-6.433648417297648e-01
2.644912390132592e-02,2.646265597243926e+01,6.887482037131941e+00,6.823456258063488e-01,2.042979792746652e+00,-8.427996762592304e-01,-2.934012487127751e-03,8.387169548674350e-05,4.806403727842471e+00,1.304081573362125e+01,1.304751605767846e-01,-7.374466762617877e-04,-6.823456258063493e-01
2.788715251922946e-02,2.790142032380578e+01,6.706970897497666e+00,7.200728135339808e-01,2.064959963274301e+00,-8.528348802942110e-01,-2.644832054262816e-03,8.857519279846906e-05,4.746001837152973e+00,1.322009183931420e+01,1.190174387023687e-01,-7.336450945094423e-04,-7.200728135339816e-01
2.936280230484456e-02,2.937782509086797e+01,6.529578898471643e+00,7.563825650260363e-01,2.083635394231287e+00,-8.615178492975848e-01,-2.347954888438741e-03,8.911980092326285e-05,4.684798428864482e+00,1.338814226562315e+01,1.088802439830585e-01,-7.300391485008278e-04,-7.563825650260366e-01
3.087601614991642e-02,3.089181313615294e+01,6.356902967008632e+00,7.911428824791928e-01,2.099265887493702e+00,-8.690046964391869e-01,-2.047862089860140e-03,8.639702446851304e-05,4.623655868490763e+00,1.354602753598173e+01,9.990773450242375e-02,-7.293522805371955e-04,-7.911428824791932e-01
3.242673549244579e-02,3.244332586769960e+01,6.190115261593219e+00,8.242518339224948e-01,2.112105665417143e+00,-8.754315289360678e-01,-1.750956532647230e-03,8.205228351312162e-05,4.563236380466428e+00,1.369472306592551e+01,9.196324865078832e-02,-7.341736357748382e-04,-8.242518339224953e-01
3.401490031895527e-02,3.403230324132603e+01,6.030037349241460e+00,8.556358606349088e-01,2.122388164131261e+00,-8.809172971454533e-01,-1.457056525005225e-03,7.751947025934603e-05,4.504030687003815e+00,1.383512520057566e+01,8.492648667412177e-02,-7.462441923163241e-04,-8.556358606349095e-01
3.564044916681175e-02,3.565868376295324e+01,5.877226116101746e+00,8.852474799794779e-01,2.130315979113751e+00,-8.855673722177601e-01,-1.158155604872058e-03,7.325726468892970e-05,4.446394787597487e+00,1.396805544143061e+01,7.868991881220537e-02,-7.669455832154215e-04,-8.852474799794788e-01
3.730331912660501e-02,3.732240449098487e+01,5.732046340084870e+00,9.130622436902746e-01,2.136067072261507e+00,-8.894767174443333e-01,-8.461902935745102e-04,6.947994935038631e-05,4.390587828018326e+00,1.409426183906722e+01,7.315615541967446e-02,-7.976217346695444e-04,-9.130622436902754e-01
3.900344584458260e-02,3.902340103874341e+01,5.594696152988672e+00,9.390758800649358e-01,2.139813626658358e+00,-8.927301875473378e-01,-5.267296524517872e-04,6.771344223284181e-05,4.336792829855983e+00,1.421442071906480e+01,6.823838530210606e-02,-8.382335620845502e-04,-9.390758800649366e-01
4.074076352514011e-02,4.076160757696167e+01,5.465226343763656e+00,9.633011105557313e-01,2.141735667869780e+00,-8.954023864551989e-01,-2.203321311922928e-04,7.085376691441211e-05,4.285131561094584e+00,1.432914180624877e+01,6.386085105806334e-02,-8.862575954240600e-04,-9.633011105557320e-01
4.251520493336736e-02,4.253695683633031e+01,5.343569206883740e+00,9.857643609249381e-01,2.142009400278305e+00,-8.975592794617266e-01,4.789399256044182e-05,8.132022043896050e-05,4.235671484043491e+00,1.443897444094514e+01,5.995742860715075e-02,-9.374390556539809e-04,-9.857643609249386e-01
4.432670139765083e-02,4.434938011010160e+01,5.229545700543681e+00,1.006504649496711e+00,2.140786730104545e+00,-8.992594370558916e-01,2.629113389258212e-04,9.804998613817261e-05,4.188418540072469e+00,1.454441275726575e+01,5.646995847474054e-02,-9.879895989438271e-04,-1.006504649496713e+00
4.617518281233113e-02,4.619880725674824e+01,5.122883385239856e+00,1.025573005836227e+00,2.138200636247829e+00,-9.005542549734363e-01,4.179513279717440e-04,1.169189486941657e-04,4.143328513661956e+00,1.464590003275818e+01,5.334726368173525e-02,-1.036122781470357e-03,-1.025573005836228e+00
4.806057764041582e-02,4.808516670267758e+01,5.023261248892009e+00,1.043029955604830e+00,2.134377726322184e+00,-9.014886000215405e-01,5.084998712777865e-04,1.344878923510614e-04,4.100334465409512e+00,1.474383263990094e+01,5.054396488475498e-02,-1.081245061530248e-03,-1.043029955604830e+00
4.998281291634821e-02,5.000838544500180e+01,4.930337727263149e+00,1.058942807781529e+00,2.129436109798584e+00,-9.021034519303690e-01,5.380668794487861e-04,1.515629479588638e-04,4.059358322421630e+00,1.483856273105642e+01,4.801950003335477e-02,-1.122323309435759e-03,-1.058942807781530e+00
5.194181424883126e-02,5.196838905436334e+01,4.843748680371214e+00,1.073384009215434e+00,2.123478415161585e+00,-9.024356455731090e-01,5.236370049043175e-04,1.720966319073928e-04,4.020305552374117e+00,1.493040211573507e+01,4.573929609679500e-02,-1.156871886316065e-03,-1.073384009215436e+00
5.393750582370627e-02,5.396510167781492e+01,4.763093411482227e+00,1.086430048476281e+00,2.116588307459627e+00,-9.025149204408877e-01,4.899487260182418e-04,1.972153943348439e-04,3.983055883709067e+00,1.501962931945196e+01,4.367498299019207e-02,-1.182736661838997e-03,-1.086430048476281e+00
5.596981040688709e-02,5.599844604175545e+01,4.687952675133308e+00,1.098160718421484e+00,2.108834644350052e+00,-9.023638009169979e-01,4.517846504306113e-04,2.242937605990996e-04,3.947474018952422e+00,1.510649511581382e+01,4.180183207072884e-02,-1.201406575094518e-03,-1.098160718421485e+00
5.803864934734893e-02,5.806834345492015e+01,4.617924485648506e+00,1.108657940290446e+00,2.100279759788854e+00,-9.020012384486534e-01,4.099315819532466e-04,2.515148918772648e-04,3.913431092863902e+00,1.519122364422735e+01,4.009668881608581e-02,-1.216966586784282e-03,-1.108657940290447e+00
6.014394258017242e-02,6.017471381142636e+01,4.552631637790217e+00,1.118003678884176e+00,2.090983160681414e+00,-9.014453207765210e-01,3.725732333569943e-04,2.768173365214137e-04,3.880809238677903e+00,1.527401175544509e+01,3.853783537028260e-02,-1.233240675661489e-03,-1.118003678884176e+00
6.228560862964228e-02,6.231747559387363e+01,4.491718105361536e+00,1.126277879178881e+00,2.081007236321836e+00,-9.007146722817436e-01,3.543330275754162e-04,2.955883825289151e-04,3.849501610431126e+00,1.535502930754384e+01,3.710555290047143e-02,-1.253987407003051e-03,-1.126277879178881e+00
6.446356461239977e-02,6.449654587649793e+01,4.434851563265801e+00,1.133557291479802e+00,2.070426705758676e+00,-8.998289083463844e-01,3.508990448967936e-04,3.043413636140308e-04,3.819417780252140e+00,1.543442152010811e+01,3.578324850899888e-02,-1.282150944802961e-03,-1.133557291479803e+00
6.667772624065105e-02,6.671184032838154e+01,4.381741148245576e+00,1.139913771671672e+00,2.059329494278448e+00,-8.988060041616847e-01,3.428217967354726e-04,3.021556794343307e-04,3.790492207097848e+00,1.551231450403918e+01,3.455837107490725e-02,-1.318363662978996e-03,-1.139913771671673e+00
6.892800782542907e-02,6.896327321671669e+01,4.332141517537417e+00,1.145413289504812e+00,2.047805043345917e+00,-8.976601751180809e-01,3.254442693460078e-04,2.895785409147708e-04,3.762679925194073e+00,1.558882086843234e+01,3.342072391059631e-02,-1.362399942867695e-03,-1.145413289504813e+00
7.121432227990920e-02,7.125075741012280e+01,4.285822278889367e+00,1.150117208035075e+00,2.035931155735081e+00,-8.964042489084711e-01,3.159301001774718e-04,2.675748877173168e-04,3.735935321329761e+00,1.566403986151734e+01,3.235960459365388e-02,-1.415527055931032e-03,-1.150117208035077e+00
7.353658112278016e-02,7.357420438201923e+01,4.242524393872309e+00,1.154084665218280e+00,2.023764735347249e+00,-8.950502127725489e-01,3.282372288404749e-04,2.372456623426565e-04,3.710186897218919e+00,1.573805544012579e+01,3.136535585473335e-02,-1.481278590358242e-03,-1.154084665218281e+00
7.589469448166786e-02,7.593352421405079e+01,4.201965000326351e+00,1.157373102522595e+00,2.011333997751755e+00,-8.936039907682654e-01,3.629996032403467e-04,2.011569505356614e-04,3.685336050300350e+00,1.581094051972768e+01,3.043141915435852e-02,-1.563449275734884e-03,-1.157373102522596e+00
7.828857109661391e-02,7.832862559956811e+01,4.163884456588078e+00,1.160037686843964e+00,1.998664570375789e+00,-8.920691480524715e-01,4.146812110503018e-04,1.630782810495786e-04,3.661293356903915e+00,1.588276093424491e+01,2.955217912648847e-02,-1.663234603084951e-03,-1.160037686843965e+00
8.071811832360687e-02,8.075941584716060e+01,4.128041610160106e+00,1.162130278459273e+00,1.985794263595769e+00,-8.904518093312114e-01,4.705683955247106e-04,1.240097386364697e-04,3.637983076107574e+00,1.595357576332879e+01,2.872264716023847e-02,-1.780351056776663e-03,-1.162130278459274e+00
8.318324213816819e-02,8.322580088424431e+01,4.094204935223775e+00,1.163698853078185e+00,1.972763103294392e+00,-8.887609636787739e-01,5.118592485964991e-04,8.604916284891910e-05,3.615333445798176e+00,1.602343883987891e+01,2.793868737780993e-02,-1.914679843398887e-03,-1.163698853078187e+00
8.568384713899047e-02,8.572768526070200e+01,4.062174825554814e+00,1.164787348436041e+00,1.959623122378493e+00,-8.870040905850496e-01,5.268559044606879e-04,5.565542552022448e-05,3.593292648184674e+00,1.609239891631188e+01,2.719615890540700e-02,-2.064636419630254e-03,-1.164787348436042e+00
8.821983655163002e-02,8.826497215257763e+01,4.031784065466009e+00,1.165435518020199e+00,1.946429933222965e+00,-8.851832359027151e-01,5.094926275357991e-04,3.760961784604827e-05,3.571824758354587e+00,1.616049967949163e+01,2.649151288699553e-02,-2.226480173158916e-03,-1.165435518020199e+00
9.079111223225178e-02,9.083756336582316e+01,4.002876122067685e+00,1.165681278059862e+00,1.933207717602115e+00,-8.832977718425923e-01,4.662006707412686e-04,3.318356977838547e-05,3.550882558864831e+00,1.622778066190336e+01,2.582154519038393e-02,-2.395081971260514e-03,-1.165681278059863e+00
9.339757467142740e-02,9.344535934009856e+01,3.975293629235241e+00,1.165564312846533e+00,1.919954878172063e+00,-8.813471079648485e-01,4.216814004824944e-04,4.333532452734556e-05,3.530406410126919e+00,1.629427774955103e+01,2.518386600295093e-02,-2.565597692448597e-03,-1.165564312846535e+00
9.603912299798678e-02,9.608825915262541e+01,3.948895641264039e+00,1.165124794043130e+00,1.906676766005018e+00,-8.793282263178778e-01,4.058976312600668e-04,6.756317025849920e-05,3.510348600656093e+00,1.636002640494485e+01,2.457748545072753e-02,-2.735957047182594e-03,-1.165124794043131e+00
9.871565498292123e-02,9.876616052209194e+01,3.923552143029545e+00,1.164398632828595e+00,1.893385755968025e+00,-8.772423843097649e-01,4.286995910778049e-04,1.049293770716819e-04,3.490668265913083e+00,1.642506079482915e+01,2.399916996557635e-02,-2.904428851314280e-03,-1.164398632828596e+00
1.014270670433401e-01,1.014789598126118e+02,3.899146347727684e+00,1.163416485942964e+00,1.880111790839794e+00,-8.751010471890076e-01,4.781887028797586e-04,1.548114372920479e-04,3.471337312255222e+00,1.648940665370669e+01,2.344448975713360e-02,-3.065968662186916e-03,-1.163416485942965e+00
1.041732542464798e-01,1.042265520377349e+02,3.875579981204806e+00,1.162205383158315e+00,1.866898927971603e+00,-8.729132286205995e-01,5.385235705607782e-04,2.148783464746930e-04,3.452342146167362e+00,1.655308514540056e+01,2.291278916169205e-02,-3.214234473538765e-03,-1.162205383158315e+00
1.069541103137640e-01,1.070088308645100e+02,3.852752025856009e+00,1.160790046210612e+00,1.853785307958387e+00,-8.706787456413572e-01,6.081595187853244e-04,2.773410658504275e-04,3.433663690012504e+00,1.661612150454248e+01,2.240494973904781e-02,-3.347388417949466e-03,-1.160790046210612e+00
1.097695276249171e-01,1.098256886176003e+02,3.830563541014147e+00,1.159190636278536e+00,1.840825796415593e+00,-8.683945580863568e-01,6.834423092121755e-04,3.359583834168642e-04,3.415289986854138e+00,1.667854274114300e+01,2.191920396339328e-02,-3.465984638588350e-03,-1.159190636278537e+00
1.126193972221293e-01,1.126770162834501e+02,3.808941128887503e+00,1.157419794787004e+00,1.828069875284674e+00,-8.660577460801523e-01,7.565371275834409e-04,3.871325866468872e-04,3.397215399479591e+00,1.674037047765647e+01,2.145238169577154e-02,-3.568676249421194e-03,-1.157419794787005e+00
1.155036088142730e-01,1.155627035145041e+02,3.787812483624063e+00,1.155486538203421e+00,1.815517104946858e+00,-8.636632865661699e-01,8.359705606513032e-04,4.279008933909077e-04,3.379408063387171e+00,1.680162146476758e+01,2.100291260504393e-02,-3.655181082780399e-03,-1.155486538203422e+00
1.184220507811713e-01,1.184826386334774e+02,3.767135805556177e+00,1.153399797594693e+00,1.803125118930380e+00,-8.612088075289667e-01,9.431992541720091e-04,4.554146136155026e-04,3.361830361040625e+00,1.686231109410140e+01,2.056965923517223e-02,-3.728132845110936e-03,-1.153399797594695e+00
1.213746101779175e-01,1.214367086376778e+02,3.746885524158590e+00,1.151168881951905e+00,1.790853786693736e+00,-8.586968388705349e-01,1.090266261059058e-03,4.662638408499941e-04,3.344454096402115e+00,1.692245256374782e+01,2.015129420031179e-02,-3.794316207188792e-03,-1.151168881951906e+00
1.243611727392467e-01,1.244247992033793e+02,3.726986975325758e+00,1.148804201328649e+00,1.778715073866217e+00,-8.561277181813299e-01,1.261220612977489e-03,4.625893456286759e-04,3.327253125260311e+00,1.698205905022829e+01,1.974815222734069e-02,-3.861728405576944e-03,-1.148804201328649e+00
1.273816228839574e-01,1.274467946902459e+02,3.707348669317041e+00,1.146316495218534e+00,1.766751353635608e+00,-8.535000511007679e-01,1.423632800862928e-03,4.466941387059972e-04,3.310208259085591e+00,1.704114782150644e+01,1.936094023836724e-02,-3.936096083790023e-03,-1.146316495218535e+00
1.304358437193842e-01,1.305025781458070e+02,3.687918200991175e+00,1.143717169711744e+00,1.754974712540643e+00,-8.508175899465230e-01,1.556143686985927e-03,4.204833016718124e-04,3.293305041621781e+00,1.709973586328210e+01,1.898742203531546e-02,-4.019527565190501e-03,-1.143717169711745e+00
1.335237170459227e-01,1.335920313099839e+02,3.668673401156039e+00,1.141018982205033e+00,1.743366386627081e+00,-8.480827451124404e-01,1.659065050754609e-03,3.868015874579432e-04,3.276529384994076e+00,1.715783354073869e+01,1.862551392152100e-02,-4.109965108248872e-03,-1.141018982205035e+00
1.366451233616027e-01,1.367150346196663e+02,3.649579564787934e+00,1.138234286632776e+00,1.731904684195507e+00,-8.452925124213849e-01,1.752402353096990e-03,3.485361244792161e-04,3.259859267808109e+00,1.721545043146255e+01,1.827543182513064e-02,-4.199622465160551e-03,-1.138234286632777e+00
1.397999418667141e-01,1.398714672133395e+02,3.630605854613910e+00,1.135371393525448e+00,1.720571614588357e+00,-8.424506965387849e-01,1.855545132215311e-03,3.106926828824586e-04,3.243274431363858e+00,1.727259634526432e+01,1.793595668814809e-02,-4.274830200432598e-03,-1.135371393525449e+00
1.429880504684807e-01,1.430612069357617e+02,3.611758183235374e+00,1.132434050293254e+00,1.709342998428370e+00,-8.395633960746979e-01,1.953352226887820e-03,2.824130796557737e-04,3.226767615978499e+00,1.732927784608503e+01,1.760616809358238e-02,-4.321334422741441e-03,-1.132434050293256e+00
1.462093257857862e-01,1.462841303426913e+02,3.593058841030039e+00,1.129424821112899e+00,1.698191555868390e+00,-8.366320237046198e-01,2.007505311725861e-03,2.721934751273271e-04,3.210337609005664e+00,1.738550250673251e+01,1.728655265056959e-02,-4.330587297736341e-03,-1.129424821112900e+00
1.494636431539486e-01,1.495401127056647e+02,3.574512616964475e+00,1.126346356643597e+00,1.687110061411052e+00,-8.336567420996680e-01,1.994490045135955e-03,2.804349936225135e-04,3.193984517509562e+00,1.744127967777602e+01,1.697698025700470e-02,-4.304729554961717e-03,-1.126346356643599e+00
1.527508766295448e-01,1.528290280168228e+02,3.556092623808961e+00,1.123200949693889e+00,1.676129466598759e+00,-8.306352266695555e-01,1.927282253390349e-03,2.998714715805901e-04,3.177711520050805e+00,1.749661949319373e+01,1.667752095164678e-02,-4.255283545988650e-03,-1.123200949693890e+00
